ID,n,Result vector,Average Runtime [ms],Epsilon,Number of unsatisfied clauses
249,20,"0 0 0 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 ",84.70606000000001,0,0
25,20,"1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 0 1 1 0 1 ",85.1708,0,0
250,20,"1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 ",83.7447,0,0
251,20,"1 0 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 ",87.29288,0,0
252,20,"1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 1 0 1 0 1 ",89.71564,0,0
253,20,"1 1 0 1 1 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 ",88.49231999999999,0,0
254,20,"1 0 1 1 1 1 1 1 1 0 1 1 0 1 1 0 0 1 1 1 ",82.10548,0,0
255,20,"1 0 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1 1 1 0 ",80.6298,0,0
256,20,"1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 ",81.6876,0,0
257,20,"1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 ",80.10922000000001,0,0
258,20,"1 0 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 0 1 1 ",82.77016,0,0
259,20,"1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 0 1 0 1 ",83.73844,0,0
26,20,"1 1 1 1 1 1 1 0 1 1 0 0 1 1 0 1 1 1 0 0 ",78.27908,0,0
260,20,"1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0 ",87.6846,0,0
261,20,"0 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 ",81.79602,0,0
262,20,"1 1 1 1 1 1 0 0 0 1 1 1 1 0 1 1 1 0 0 1 ",83.38203999999999,0,0
263,20,"0 1 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 ",81.55654,0,0
264,20,"0 0 1 1 1 1 1 1 1 0 0 0 1 1 0 1 0 1 1 1 ",80.69572,0,0
265,20,"0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 ",77.08576000000001,0,0
266,20,"1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 0 1 0 1 1 ",86.85084,0,0
267,20,"1 1 1 0 1 0 1 0 1 0 1 1 1 1 0 1 1 1 1 1 ",85.14802,0,0
268,20,"1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 0 1 1 ",80.55596,0,0
269,20,"1 0 1 1 1 1 1 1 1 1 0 1 0 0 0 1 1 1 0 1 ",83.13034,0,0
27,20,"0 1 1 0 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 ",82.0394,0,0
270,20,"0 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 ",76.14622,0,0
271,20,"0 0 1 1 0 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 ",83.26142,0,0
272,20,"1 1 0 0 0 0 1 1 1 1 0 1 0 1 1 1 1 1 0 1 ",84.80582000000001,0,0
273,20,"1 1 1 0 1 1 1 1 1 0 1 1 1 0 1 0 1 0 1 1 ",78.4229,0,0
274,20,"1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 ",80.2563,0,0
275,20,"1 0 1 0 1 1 0 1 0 1 1 1 1 1 1 1 1 1 0 0 ",84.26196,0,0
276,20,"0 0 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 ",83.39994,0,0
277,20,"1 1 1 1 0 1 1 0 0 1 1 1 0 0 1 0 1 1 1 1 ",81.87044,0,0
278,20,"0 0 1 0 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 0 ",80.7708,0,0
279,20,"1 1 1 1 0 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 ",78.63694000000001,0,0
28,20,"1 1 0 1 1 1 0 1 1 1 0 1 1 0 0 0 1 0 1 1 ",83.76238,0,0
280,20,"1 1 1 0 1 1 1 1 0 1 0 1 1 0 1 1 1 1 1 1 ",76.92658,0,0
281,20,"1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 ",79.63686,0,0
282,20,"0 1 1 1 1 1 0 1 1 0 0 1 1 0 1 0 1 1 0 0 ",83.72408,0,0
283,20,"1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 ",78.07578,0,0
284,20,"1 1 0 1 1 1 1 1 0 0 1 1 1 1 1 0 1 1 1 0 ",83.41286,0,0
285,20,"1 0 1 1 1 0 1 1 1 1 1 1 0 1 1 1 0 0 1 0 ",81.89378,0,0
286,20,"0 0 1 1 1 1 1 1 1 0 1 1 0 1 1 0 1 0 1 1 ",86.09534,0,0
287,20,"0 1 1 0 1 1 1 1 0 1 1 1 0 1 0 1 0 1 1 1 ",84.00196,0,0
288,20,"1 1 0 1 0 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 ",83.16608,0,0
289,20,"1 1 0 1 1 0 0 1 0 1 0 1 1 1 1 1 1 1 1 1 ",86.4266,0,0
29,20,"1 1 1 1 1 0 0 0 1 1 1 1 1 0 1 1 0 0 1 1 ",81.58264,0,0
290,20,"1 1 0 1 0 1 0 1 1 1 1 1 0 0 1 1 0 1 1 1 ",80.04082,0,0
291,20,"1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 ",85.58496,0,0
292,20,"0 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 ",80.76358,0,0
293,20,"0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 ",82.11022,0,0
294,20,"1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 0 1 ",78.08496,0,0
295,20,"1 1 1 0 1 0 1 0 0 1 1 1 1 1 1 0 1 0 1 0 ",84.99076,0,0
296,20,"0 1 1 1 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 ",90.52438,0,0
297,20,"1 1 1 1 1 0 1 1 1 0 1 1 0 0 1 0 1 1 0 0 ",86.94004,0,0
298,20,"1 1 0 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 ",77.72518,0,0
