ID,n,Result vector,Average Runtime [ms],Number of steps,Epsilon,Number of unsatisfied clauses,Best configuration found at,Result Label
645,50,"0 1 0 1 0 1 0 1 1 0 0 1 1 0 1 1 0 0 0 1 1 1 1 1 1 1 0 1 0 1 0 1 0 1 1 1 0 1 1 0 0 1 1 0 1 1 1 1 1 1 ",9.0126,1050,0,0,1019,0.6;50M
646,50,"0 1 1 0 1 0 1 0 0 1 1 0 1 0 1 1 1 0 1 1 1 0 1 1 0 1 1 1 1 1 0 0 0 1 1 1 1 1 1 0 0 0 1 0 0 0 1 0 1 1 ",9.1606,1050,0,0,1005,0.6;50M
647,50,"1 1 0 1 1 0 1 0 0 1 1 1 0 1 1 0 1 0 1 1 1 0 0 1 0 1 1 1 1 1 0 1 1 1 1 0 0 1 0 1 1 1 0 1 1 1 1 1 0 1 ",10.1898,1150,0,0,992,0.6;50M
648,50,"1 1 1 1 0 0 0 0 1 1 1 0 1 1 1 1 0 1 0 0 0 1 0 1 0 1 1 1 0 1 0 1 1 1 1 1 0 1 1 0 0 0 0 1 1 0 0 1 1 1 ",7.2995,850,0,0,824,0.6;50M
649,50,"1 0 1 0 1 0 0 0 1 0 0 1 1 1 1 0 0 1 1 1 1 0 1 0 1 1 0 0 1 1 0 0 1 0 1 1 1 0 1 1 0 0 1 1 1 1 1 0 1 1 ",10.0543,1100,0,0,1057,0.6;50M
65,50,"0 0 0 0 0 1 1 0 1 1 0 1 0 1 1 1 0 1 1 0 0 1 0 1 0 1 0 1 1 1 0 1 1 1 1 1 1 0 1 0 0 0 1 1 0 1 1 0 1 0 ",9.7295,1100,0,0,1034,0.6;50M
650,50,"0 1 1 0 1 0 1 0 1 0 1 1 0 0 0 0 1 1 0 1 0 1 1 0 1 1 1 1 0 1 1 1 0 0 1 1 0 0 1 1 1 1 0 0 0 1 1 0 1 1 ",9.6895,1100,0,0,1017,0.6;50M
651,50,"1 0 1 0 1 1 1 1 1 0 1 0 1 1 1 0 0 1 1 1 0 1 1 1 1 1 0 1 0 1 1 0 1 1 0 0 0 0 1 1 1 1 0 0 0 1 1 1 1 1 ",8.7818,1000,0,0,547,0.6;50M
652,50,"0 1 1 0 1 0 1 1 0 1 1 0 1 0 1 1 1 1 1 1 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 ",9.0915,1050,0,0,936,0.6;50M
653,50,"0 0 0 1 1 1 0 1 1 1 1 1 0 1 1 0 0 0 1 1 0 1 1 1 0 1 1 0 1 0 0 1 1 0 1 0 1 1 1 1 0 1 1 0 1 1 1 0 1 0 ",8.9311,1000,0,0,893,0.6;50M
