ID,n,Result vector,Average Runtime [ms],Epsilon,Number of unsatisfied clauses
201,20,"1 1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 1 0 0 1 ",79.37142,0,0
202,20,"1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 1 1 1 1 1 ",78.29702,0,0
203,20,"1 0 0 0 1 1 0 1 1 1 1 1 1 1 1 0 0 1 1 1 ",78.88298,0,0
204,20,"0 1 1 1 1 1 1 0 1 1 0 1 1 0 1 1 0 0 1 0 ",75.3968,0,0
205,20,"0 1 1 1 0 1 0 0 1 0 1 1 1 1 1 1 1 1 0 0 ",81.52458,0,0
206,20,"1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 ",86.41394,0,0
207,20,"1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 0 0 0 1 1 ",77.92824,0,0
208,20,"1 1 0 1 1 1 0 0 1 1 1 1 1 1 0 1 1 1 1 1 ",78.58633999999999,0.01050837803632021,0
209,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 ",85.95414,0,0
21,20,"1 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 ",82.83586,0,0
210,20,"1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 ",76.32397999999999,0,0
211,20,"1 1 1 1 1 1 1 1 0 0 1 1 1 0 0 1 1 1 1 1 ",79.05506,0,0
212,20,"1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 ",82.63278,0.02367032691836357,0
213,20,"1 1 1 0 1 1 0 1 1 0 1 1 1 0 1 1 1 1 0 0 ",80.23646,0,0
214,20,"1 1 1 0 1 1 1 1 1 1 1 0 0 1 1 0 1 0 1 1 ",79.58268000000001,0,0
215,20,"1 1 1 1 1 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 ",77.7373,0,0
216,20,"1 0 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 1 1 1 ",83.05352,0,0
217,20,"1 0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 ",84.10616,0,0
218,20,"1 1 0 0 1 0 1 1 1 1 0 1 1 1 0 0 1 1 1 0 ",77.73586,0,0
219,20,"1 1 1 1 1 1 0 0 1 1 1 0 0 1 1 1 1 1 0 1 ",78.51086000000001,0,0
22,20,"0 1 0 1 0 0 1 1 1 1 0 1 1 1 0 1 1 1 1 1 ",78.53772000000001,0.039433933794498444,0
220,20,"1 0 1 1 1 1 1 0 0 1 0 0 1 1 1 0 1 0 1 1 ",76.39948000000001,0,0
221,20,"0 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 ",76.06196,0,0
222,20,"1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 ",86.23150000000001,0,0
223,20,"0 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 0 1 1 1 ",80.69048000000001,0.03591400384902954,0
224,20,"1 1 0 0 1 1 1 1 1 0 1 1 1 0 0 0 1 1 1 1 ",77.73028000000001,0,0
225,20,"1 0 1 1 0 1 0 1 1 0 1 0 0 1 1 1 1 1 1 1 ",82.27762,0,0
226,20,"1 1 1 1 1 1 0 1 1 1 0 1 1 1 0 1 1 0 1 0 ",84.83792,0,0
227,20,"1 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 ",78.07436,0.011144503019750118,0
228,20,"1 1 1 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 1 0 ",82.73588,0,0
229,20,"1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 0 1 1 1 ",84.28688,0,0
23,20,"1 1 1 1 0 1 1 1 1 1 0 1 1 1 0 1 0 1 0 0 ",78.10728,0,0
230,20,"1 1 0 1 1 1 1 1 1 1 0 0 1 1 1 1 0 0 0 1 ",77.35040000000001,0,0
231,20,"0 0 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 0 0 1 ",82.41306,0,0
232,20,"1 1 0 0 1 1 1 1 1 1 0 1 1 0 1 0 1 1 1 1 ",79.83074,0,0
233,20,"1 0 1 1 1 0 1 1 1 0 1 0 1 1 1 1 1 1 1 0 ",88.13264000000001,0,0
234,20,"1 0 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1 0 1 ",84.85154,0,0
235,20,"1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 0 1 1 1 ",97.30174,0.013908748514950275,0
236,20,"1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 1 1 0 1 1 ",93.74436,0.025266434997320175,0
237,20,"1 0 1 1 1 1 0 1 0 0 1 1 1 1 1 0 0 1 0 1 ",79.11710000000001,0,0
238,20,"1 1 1 1 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 ",85.65474,0,0
239,20,"1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 0 1 ",89.57248,0,0
24,20,"1 0 1 0 1 0 0 0 1 1 1 0 0 1 1 0 1 1 1 1 ",80.08324,0,0
240,20,"1 1 1 1 1 1 0 1 0 1 1 0 0 1 0 1 1 1 1 1 ",81.65924,0,0
241,20,"0 0 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 ",77.68524,0,0
242,20,"0 1 1 1 0 1 1 1 0 1 0 1 1 1 1 1 1 1 1 0 ",82.25703999999999,0,0
243,20,"1 1 0 0 0 1 0 1 1 1 1 0 1 1 1 1 1 0 1 1 ",78.04154,0,0
244,20,"0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 0 0 ",80.98766,0.006069317925721407,0
245,20,"1 1 1 0 1 1 1 1 0 0 1 0 1 1 0 0 0 0 1 0 ",78.81926,0,0
246,20,"0 1 1 1 0 1 1 1 1 1 0 1 1 0 0 1 1 1 1 1 ",81.80969999999999,0,0
247,20,"1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 ",88.07292,0,0
248,20,"1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 ",79.13314,0,0
249,20,"0 0 0 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 ",74.58984000000001,0,0
25,20,"1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 0 1 1 0 1 ",85.98128,0,0
250,20,"1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 ",85.9719,0.027708109468221664,0
251,20,"1 0 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 ",83.75192,0,0
252,20,"1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 1 0 1 0 1 ",81.7939,0,0
253,20,"1 1 0 1 1 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 ",83.15728,0,0
254,20,"1 0 1 1 1 1 1 1 1 0 1 1 0 1 1 0 0 1 1 1 ",78.65948,0,0
255,20,"1 0 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1 1 1 0 ",84.91474,0,0
