ID,n,Result vector,Average Runtime [ms],Number of steps,Epsilon,Number of unsatisfied clauses,Best configuration found at,Result Label
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",352.1521,38000,0,0,22844,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",351.9402,38000,0,0,23278,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",352.4984,38000,0,0,2613,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",357.837,39000,0,0,18424,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",352.69,37000,0,0,19538,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",366.9766,39000,0,0,29155,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",360.9816,39000,0,0,13472,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",349.9582,38000,0,0,17089,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",360.0531,39000,0,0,17018,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",351.0361,38000,0,0,27380,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",365.1636,39000,0,0,23694,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",353.6527,38000,0,0,23798,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",350.9333,38000,0,0,6271,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",355.9391,38000,0,0,24620,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",344.5617,37000,0,0,9929,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",361.152,39000,0,0,22902,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",371.7965,39000,0,0,18383,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",351.1257,38000,0,0,6765,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",359.7767,39000,0,0,25798,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",357.8234,38000,0,0,28419,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",347.8497,37000,0,0,21803,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",361.9771,39000,0,0,8800,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",339.1105,37000,0,0,12312,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",351.6551,38000,0,0,17467,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",364.4377,39000,0,0,5375,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",350.5845,38000,0,0,22577,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",348.6298,37000,0,0,13366,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",343.2819,37000,0,0,32785,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",348.2994,37000,0,0,21046,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",387.1136,41000,0,0,19816,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",354.3325,38000,0,0,6847,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",341.0453,37000,0,0,23522,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",359.4842,38000,0,0,29630,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",338.6034,37000,0,0,1447,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",350.6111,38000,0,0,30839,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",352.6773,38000,0,0,6904,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",349.676,38000,0,0,16074,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",349.9389,38000,0,0,20456,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",343.1283,37000,0,0,1021,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",351.0459,38000,0,0,30739,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",377.394,41000,0,0,14589,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",354.3102,38000,0,0,27954,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",353.4004,38000,0,0,8903,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",357.1387,38000,0,0,30469,
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",362.2473,37000,0,0,20586,
